City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
193,Santa Cruz,BO,2022-10-12 21:12:57,-17.8,-63.1667,69.26,73,75,8.05
194,Sitka,US,2022-10-12 21:10:13,57.0531,-135.33,57.09,82,100,11.5
195,Phan Thiet,VN,2022-10-12 21:14:21,10.9333,108.1,75.13,89,100,3.51
196,Jos,NG,2022-10-12 21:14:21,9.9167,8.9,65.46,87,28,4.41
197,San Carlos De Bariloche,AR,2022-10-12 21:13:46,-41.1456,-71.3082,46.02,50,51,16.13
198,Yerbogachen,RU,2022-10-12 21:10:52,61.2767,108.0108,32.94,97,100,8.28
199,Waw,SS,2022-10-12 21:14:22,7.7029,27.9953,74.91,79,76,2.95
200,Fort Wellington,GY,2022-10-12 21:14:22,6.4,-57.6,81.45,72,30,9.6
201,Bara,NG,2022-10-12 21:14:23,10.3744,10.7288,79.47,69,70,5.28
202,Buala,SB,2022-10-12 21:14:23,-8.145,159.5921,82.08,74,91,5.35
203,Catuday,PH,2022-10-12 21:14:24,16.2923,119.8062,78.48,82,100,9.1
204,Acarau,BR,2022-10-12 21:14:25,-2.8856,-40.12,79.92,73,53,18.19
205,Eluru,IN,2022-10-12 21:14:25,16.7,81.1,75.6,94,82,3.27
206,Dingle,PH,2022-10-12 21:17:53,10.9995,122.6711,75.54,92,100,3.94
207,La Ronge,CA,2022-10-12 21:17:54,55.1001,-105.2842,35.82,55,100,24.16
208,Brownsville,US,2022-10-12 21:17:54,25.9018,-97.4975,92.08,63,75,12.66
209,Grootfontein,NA,2022-10-12 21:17:54,-19.5667,18.1167,71.17,20,97,5.75
210,Hamilton,US,2022-10-12 21:13:49,39.1834,-84.5333,79.0,53,75,18.41
211,Kostino,RU,2022-10-12 21:17:55,58.9097,53.2691,44.1,88,100,2.75
212,Neiafu,TO,2022-10-12 21:17:56,-18.65,-173.9833,81.28,69,20,4.61
213,Lavrentiya,RU,2022-10-12 21:17:56,65.5833,-171.0,26.38,57,18,4.29
214,Saint Anthony,US,2022-10-12 21:13:50,45.0205,-93.218,53.15,80,75,18.41
215,Kaili,ID,2022-10-12 21:17:57,-3.4626,120.2147,64.76,87,85,3.42
216,Alofi,NU,2022-10-12 21:17:57,-19.0595,-169.9187,78.69,21,75,8.05
217,Les Cayes,HT,2022-10-12 21:17:58,18.2,-73.75,84.65,68,88,6.67
218,Carballo,ES,2022-10-12 21:17:58,43.213,-8.691,64.9,91,98,1.7
219,Praia,CV,2022-10-12 21:17:59,14.9215,-23.5087,79.34,89,20,12.66
220,Bequimao,BR,2022-10-12 21:17:59,-2.4489,-44.7825,82.22,68,91,6.89
221,Angoche,MZ,2022-10-12 21:18:00,-16.2325,39.9086,75.0,85,25,6.85
222,Port Hedland,AU,2022-10-12 21:18:00,-20.3167,118.5667,73.45,21,2,12.66
223,Vestmannaeyjar,IS,2022-10-12 21:18:01,63.4427,-20.2734,46.13,77,96,16.22
224,Fairview,US,2022-10-12 21:17:11,40.8126,-73.999,68.58,62,0,19.57
225,Najran,SA,2022-10-12 21:18:01,17.4924,44.1277,68.65,20,0,2.15
226,Charters Towers,AU,2022-10-12 21:19:02,-20.1,146.2667,67.82,75,3,14.05
227,Kirtipur,NP,2022-10-12 21:19:03,27.6667,85.2833,66.13,88,75,4.61
228,Shancheng,CN,2022-10-12 21:19:03,34.7953,116.0817,51.89,68,52,6.29
229,Georgetown,MY,2022-10-12 21:15:08,5.4112,100.3354,80.89,88,20,1.99
230,Moron,AR,2022-10-12 21:19:04,-34.6534,-58.6198,84.09,43,40,9.62
231,Tchamba,TG,2022-10-12 21:19:05,9.0333,1.4167,71.83,75,30,2.48
232,Daru,PG,2022-10-12 21:19:05,-9.0763,143.2092,79.93,84,92,12.57
233,Bonanza,NI,2022-10-12 21:19:06,14.0289,-84.591,79.68,90,88,3.02
234,Sechura,PE,2022-10-12 21:19:06,-5.5569,-80.8222,74.37,57,13,16.8
235,Shimanovsk,RU,2022-10-12 21:19:07,52.0,127.7,36.1,75,70,4.25
236,Kodiak,US,2022-10-12 21:19:07,57.79,-152.4072,42.31,61,100,21.85
237,Rio Cuarto,AR,2022-10-12 21:19:08,-33.1307,-64.3499,85.68,10,0,11.5
238,Nenjiang,CN,2022-10-12 21:19:08,49.1833,125.2167,40.57,48,43,2.3
