Hotel_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
320,Sakaiminato,JP,61.39,scattered clouds,35.55,133.2333,Italian pasley
321,Puerto Ayora,EC,76.96,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
323,Cortez,US,54.93,clear sky,37.3489,-108.5859,Sand Canyon National 9 Inn
324,Lepenou,GR,61.72,clear sky,38.7,21.2833,Κ.Λεπενιωτη 5 Λεπενου Σαβλεΐκα
326,Kolokani,ML,88.38,broken clouds,13.5728,-8.0339,Lycee Famolo Coulibalibali De Kolokani
327,Axim,GH,80.6,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
328,Sur,OM,80.49,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
329,Los Llanos De Aridane,ES,71.35,broken clouds,28.6585,-17.9182,Valle Aridane
330,Birnin Kebbi,NG,89.98,clear sky,12.4539,4.1975,Saffar Guest Inn Ltd
332,Elat,IL,82.38,clear sky,29.5581,34.9482,Club Hotel Eilat
334,San Andres,CO,87.82,few clouds,12.5847,-81.7006,Hotel Arena Blanca
336,Ancud,CL,77.23,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
338,Erzurum,TR,49.68,overcast clouds,40.0,41.5,Saksi Koyu Muhtarligi
340,Suez,EG,77.68,scattered clouds,29.9737,32.5263,Green House
341,Lukovetskiy,RU,45.63,moderate rain,64.2956,41.9211,Provintsiya
342,Rengasdengklok,ID,80.71,overcast clouds,-6.1592,107.2981,Tanah dan Rumah Singgah Keluarga
343,Lenger,KZ,53.04,overcast clouds,42.183,69.8839,Gostevoy Dom 1
344,Malpe,IN,79.9,overcast clouds,13.35,74.7167,Hotel Sri Krishna Residency
345,Russell,US,78.01,clear sky,32.3502,-85.1999,Macs
346,Cabo San Lucas,MX,83.61,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
348,Russkaya Polyana,UA,49.55,clear sky,49.417,31.9201,
350,Alyangula,AU,79.77,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
353,Port Macquarie,AU,56.89,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
354,Slonim,BY,59.86,broken clouds,53.0867,25.3219,Hostel on Brestskaya 107
355,Guamuchil,MX,83.75,clear sky,25.4667,-108.1,Hotel Heredia
356,Puqi,CN,58.21,clear sky,29.7167,113.8833,Ramada Plaza Chibi
358,Zhuhai,CN,80.38,few clouds,22.2769,113.5678,珠海粤财假日酒店
359,Manaus,BR,81.09,thunderstorm with heavy rain,-3.1019,-60.025,Manaus Hotéis Millennium
360,Faanui,PF,78.58,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
362,Sechura,PE,75.96,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
365,Seydi,TM,68.02,broken clouds,39.4816,62.9137,Seydi oteli
366,Gambela,ET,72.61,light rain,8.25,34.5833,Solomon Debebe Hotel
367,Namatanai,PG,79.29,light rain,-3.6667,152.4333,Seagulls Inn Namatani
369,Ilo,PE,67.06,clear sky,-17.6394,-71.3375,Torreblanca Hotel
372,Rio Gallegos,AR,71.65,clear sky,-51.6226,-69.2181,Hotel Santa Cruz
373,Amapa,BR,88.5,broken clouds,1.0,-52.0,
374,Honiara,SB,77.23,overcast clouds,-9.4333,159.95,Heritage Park Hotel
